model,dataset,sec,step,loss,loss smooth
GRU,valid,11.4,1,9.704,9.704
GRU,train,11.4,1,9.704,9.704
GRU,valid,27.1,11,8.406,9.142
GRU,train,27.1,11,8.313,8.839
GRU,valid,42.4,21,8.351,8.679
GRU,train,42.4,21,8.702,8.686
GRU,valid,57.8,31,8.303,8.575
GRU,train,57.8,31,8.27,8.49
GRU,valid,73.5,41,8.125,8.392
GRU,train,73.5,41,8.233,8.35
GRU,valid,88.9,51,8.07,8.277
GRU,train,88.9,51,8.005,8.207
GRU,valid,104.3,61,8.141,8.19
GRU,train,104.3,61,8.036,8.151
GRU,valid,119.7,71,8.1,8.138
GRU,train,119.7,71,8.173,8.147
GRU,valid,135.5,81,8.005,8.111
GRU,train,135.5,81,8.061,8.098
GRU,valid,150.9,91,8.136,8.108
GRU,train,150.9,91,7.967,8.072
GRU,valid,166.3,101,8.018,8.059
GRU,train,166.3,101,8.064,8.06
GRU,valid,181.6,111,8.073,8.063
GRU,train,181.6,111,8.142,8.083
GRU,valid,197.4,121,8.009,8.064
GRU,train,197.4,121,7.938,8.033
GRU,valid,212.9,131,8.126,8.056
GRU,train,212.9,131,7.844,8.003
GRU,valid,228.5,141,7.959,7.992
GRU,train,228.5,141,8.044,8.005
GRU,valid,244.0,151,7.98,7.999
GRU,train,244.0,151,7.872,7.967
GRU,valid,259.9,161,8.143,8.011
GRU,train,259.9,161,8.044,8.019
GRU,valid,275.4,171,8.048,8.026
GRU,train,275.4,171,8.06,8.035
GRU,valid,290.9,181,8.077,8.045
GRU,train,290.9,181,8.012,8.037
GRU,valid,306.5,191,7.875,7.996
GRU,train,306.5,191,7.929,7.98
GRU,valid,322.4,201,7.99,7.982
GRU,train,322.4,201,7.829,7.944
GRU,valid,337.8,211,7.958,7.947
GRU,train,337.8,211,8.021,7.966
GRU,valid,353.3,221,7.965,7.966
GRU,train,353.3,221,7.984,7.97
GRU,valid,368.6,231,7.92,7.958
GRU,train,368.6,231,7.963,7.959
GRU,valid,384.5,241,7.925,7.951
GRU,train,384.5,241,8.061,7.978
GRU,valid,399.8,251,7.888,7.956
GRU,train,399.8,251,7.985,7.963
GRU,valid,415.1,261,8.056,7.986
GRU,train,415.1,261,8.008,7.991
GRU,valid,430.8,271,7.782,7.939
GRU,train,430.8,271,7.963,7.945
GRU,valid,446.1,281,8.158,7.998
GRU,train,446.1,281,7.839,7.958
GRU,valid,461.5,291,7.958,7.958
GRU,train,461.5,291,8.06,7.984
GRU,valid,476.8,301,7.989,7.985
GRU,train,476.8,301,8.036,7.998
GRU,valid,492.5,311,8.069,8.016
GRU,train,492.5,311,8.027,8.019
GRU,valid,507.7,321,8.016,8.018
GRU,train,507.7,321,7.944,8.0
GRU,valid,522.9,331,8.069,8.017
GRU,train,522.9,331,8.069,8.03
GRU,valid,538.1,341,8.103,8.048
GRU,train,538.1,341,7.99,8.034
GRU,valid,553.7,351,7.914,8.004
GRU,train,553.7,351,7.934,7.986
GRU,valid,569.1,361,8.11,8.017
GRU,train,569.1,361,7.927,7.995
GRU,valid,584.4,371,7.856,7.96
GRU,train,584.4,371,8.025,7.976
GRU,valid,599.7,381,7.98,7.977
GRU,train,599.7,381,7.94,7.968
GRU,valid,615.5,391,7.855,7.94
GRU,train,615.5,391,7.831,7.913
GRU,valid,632.7,401,7.82,7.889
GRU,train,632.7,401,7.971,7.91
GRU,valid,648.2,411,7.776,7.876
GRU,train,648.2,411,7.953,7.895
GRU,valid,663.8,421,7.887,7.893
GRU,train,663.8,421,7.894,7.893
GRU,valid,679.7,431,7.979,7.915
GRU,train,679.7,431,7.976,7.93
GRU,valid,695.1,441,7.9,7.923
GRU,train,695.1,441,7.905,7.918
GRU,valid,710.6,451,7.755,7.877
GRU,train,710.6,451,7.929,7.89
GRU,valid,726.1,461,7.953,7.906
GRU,train,726.1,461,7.85,7.892
GRU,valid,742.0,471,7.814,7.872
GRU,train,742.0,471,8.004,7.905
